,t,v
1328,1552953600,234632
1329,1553040000,230507
1330,1553126400,217302
1331,1553212800,220950
1332,1553299200,204313
1333,1553385600,202033
1334,1553472000,255205
1335,1553558400,241694
1336,1553644800,231730
1337,1553731200,241263
1338,1553817600,235121
1339,1553904000,231633
1340,1553990400,220683
1341,1554076800,279675
1342,1554163200,310402
1343,1554249600,292611
1344,1554336000,260778
1345,1554422400,252322
1346,1554508800,222522
1347,1554595200,233764
1348,1554681600,263907
1349,1554768000,262657
1350,1554854400,250109
1351,1554940800,284524
1352,1555027200,298063
1353,1555113600,250067
1354,1555200000,206183
1355,1555286400,249889
1356,1555372800,245079
1357,1555459200,254306
1358,1555545600,258054
1359,1555632000,282606
1360,1555718400,332957
